00000,united states,US
01000,alabama,AL
01001,autauga county,AL
01003,baldwin county,AL
01005,barbour county,AL
01007,bibb county,AL
01009,blount county,AL
01011,bullock county,AL
01013,butler county,AL
01015,calhoun county,AL
01017,chambers county,AL
01019,cherokee county,AL
01021,chilton county,AL
01023,choctaw county,AL
01025,clarke county,AL
01027,clay county,AL
01029,cleburne county,AL
01031,coffee county,AL
01033,colbert county,AL
01035,conecuh county,AL
01037,coosa county,AL
01039,covington county,AL
01041,crenshaw county,AL
01043,cullman county,AL
01045,dale county,AL
01047,dallas county,AL
01049,dekalb county,AL
01051,elmore county,AL
01053,escambia county,AL
01055,etowah county,AL
01057,fayette county,AL
01059,franklin county,AL
01061,geneva county,AL
01063,greene county,AL
01065,hale county,AL
01067,henry county,AL
01069,houston county,AL
01071,jackson county,AL
01073,jefferson county,AL
01075,lamar county,AL
01077,lauderdale county,AL
01079,lawrence county,AL
01081,lee county,AL
01083,limestone county,AL
01085,lowndes county,AL
01087,macon county,AL
01089,madison county,AL
01091,marengo county,AL
01093,marion county,AL
01095,marshall county,AL
01097,mobile county,AL
01099,monroe county,AL
01101,montgomery county,AL
01103,morgan county,AL
01105,perry county,AL
01107,pickens county,AL
01109,pike county,AL
01111,randolph county,AL
01113,russell county,AL
01115,st. clair county,AL
01117,shelby county,AL
01119,sumter county,AL
01121,talladega county,AL
01123,tallapoosa county,AL
01125,tuscaloosa county,AL
01127,walker county,AL
01129,washington county,AL
01131,wilcox county,AL
01133,winston county,AL
02000,alaska,AK
02013,aleutians east borough,AK
02016,aleutians west census area,AK
02020,anchorage municipality,AK
02050,bethel census area,AK
02060,bristol bay borough,AK
02068,denali borough,AK
02070,dillingham census area,AK
02090,fairbanks north star borough,AK
02100,haines borough,AK
02105,hoonah-angoon census area,AK
02110,juneau city and borough,AK
02122,kenai peninsula borough,AK
02130,ketchikan gateway borough,AK
02150,kodiak island borough,AK
02158,kusilvak census area,AK
02164,lake and peninsula borough,AK
02170,matanuska-susitna borough,AK
02180,nome census area,AK
02185,north slope borough,AK
02188,northwest arctic borough,AK
02195,petersburg borough,AK
02198,prince of wales-hyder census area,AK
02220,sitka city and borough,AK
02230,skagway municipality,AK
02240,southeast fairbanks census area,AK
02261,valdez-cordova census area,AK
02275,wrangell city and borough,AK
02282,yakutat city and borough,AK
02290,yukon-koyukuk census area,AK
04000,arizona,AZ
04001,apache county,AZ
04003,cochise county,AZ
04005,coconino county,AZ
04007,gila county,AZ
04009,graham county,AZ
04011,greenlee county,AZ
04012,la paz county,AZ
04013,maricopa county,AZ
04015,mohave county,AZ
04017,navajo county,AZ
04019,pima county,AZ
04021,pinal county,AZ
04023,santa cruz county,AZ
04025,yavapai county,AZ
04027,yuma county,AZ
05000,arkansas,AR
05001,arkansas county,AR
05003,ashley county,AR
05005,baxter county,AR
05007,benton county,AR
05009,boone county,AR
05011,bradley county,AR
05013,calhoun county,AR
05015,carroll county,AR
05017,chicot county,AR
05019,clark county,AR
05021,clay county,AR
05023,cleburne county,AR
05025,cleveland county,AR
05027,columbia county,AR
05029,conway county,AR
05031,craighead county,AR
05033,crawford county,AR
05035,crittenden county,AR
05037,cross county,AR
05039,dallas county,AR
05041,desha county,AR
05043,drew county,AR
05045,faulkner county,AR
05047,franklin county,AR
05049,fulton county,AR
05051,garland county,AR
05053,grant county,AR
05055,greene county,AR
05057,hempstead county,AR
05059,hot spring county,AR
05061,howard county,AR
05063,independence county,AR
05065,izard county,AR
05067,jackson county,AR
05069,jefferson county,AR
05071,johnson county,AR
05073,lafayette county,AR
05075,lawrence county,AR
05077,lee county,AR
05079,lincoln county,AR
05081,little river county,AR
05083,logan county,AR
05085,lonoke county,AR
05087,madison county,AR
05089,marion county,AR
05091,miller county,AR
05093,mississippi county,AR
05095,monroe county,AR
05097,montgomery county,AR
05099,nevada county,AR
05101,newton county,AR
05103,ouachita county,AR
05105,perry county,AR
05107,phillips county,AR
05109,pike county,AR
05111,poinsett county,AR
05113,polk county,AR
05115,pope county,AR
05117,prairie county,AR
05119,pulaski county,AR
05121,randolph county,AR
05123,st. francis county,AR
05125,saline county,AR
05127,scott county,AR
05129,searcy county,AR
05131,sebastian county,AR
05133,sevier county,AR
05135,sharp county,AR
05137,stone county,AR
05139,union county,AR
05141,van buren county,AR
05143,washington county,AR
05145,white county,AR
05147,woodruff county,AR
05149,yell county,AR
06000,california,CA
06001,alameda county,CA
06003,alpine county,CA
06005,amador county,CA
06007,butte county,CA
06009,calaveras county,CA
06011,colusa county,CA
06013,contra costa county,CA
06015,del norte county,CA
06017,el dorado county,CA
06019,fresno county,CA
06021,glenn county,CA
06023,humboldt county,CA
06025,imperial county,CA
06027,inyo county,CA
06029,kern county,CA
06031,kings county,CA
06033,lake county,CA
06035,lassen county,CA
06037,los angeles county,CA
06039,madera county,CA
06041,marin county,CA
06043,mariposa county,CA
06045,mendocino county,CA
06047,merced county,CA
06049,modoc county,CA
06051,mono county,CA
06053,monterey county,CA
06055,napa county,CA
06057,nevada county,CA
06059,orange county,CA
06061,placer county,CA
06063,plumas county,CA
06065,riverside county,CA
06067,sacramento county,CA
06069,san benito county,CA
06071,san bernardino county,CA
06073,san diego county,CA
06075,san francisco county,CA
06077,san joaquin county,CA
06079,san luis obispo county,CA
06081,san mateo county,CA
06083,santa barbara county,CA
06085,santa clara county,CA
06087,santa cruz county,CA
06089,shasta county,CA
06091,sierra county,CA
06093,siskiyou county,CA
06095,solano county,CA
06097,sonoma county,CA
06099,stanislaus county,CA
06101,sutter county,CA
06103,tehama county,CA
06105,trinity county,CA
06107,tulare county,CA
06109,tuolumne county,CA
06111,ventura county,CA
06113,yolo county,CA
06115,yuba county,CA
08000,colorado,CO
08001,adams county,CO
08003,alamosa county,CO
08005,arapahoe county,CO
08007,archuleta county,CO
08009,baca county,CO
08011,bent county,CO
08013,boulder county,CO
08014,broomfield county,CO
08015,chaffee county,CO
08017,cheyenne county,CO
08019,clear creek county,CO
08021,conejos county,CO
08023,costilla county,CO
08025,crowley county,CO
08027,custer county,CO
08029,delta county,CO
08031,denver county,CO
08033,dolores county,CO
08035,douglas county,CO
08037,eagle county,CO
08039,elbert county,CO
08041,el paso county,CO
08043,fremont county,CO
08045,garfield county,CO
08047,gilpin county,CO
08049,grand county,CO
08051,gunnison county,CO
08053,hinsdale county,CO
08055,huerfano county,CO
08057,jackson county,CO
08059,jefferson county,CO
08061,kiowa county,CO
08063,kit carson county,CO
08065,lake county,CO
08067,la plata county,CO
08069,larimer county,CO
08071,las animas county,CO
08073,lincoln county,CO
08075,logan county,CO
08077,mesa county,CO
08079,mineral county,CO
08081,moffat county,CO
08083,montezuma county,CO
08085,montrose county,CO
08087,morgan county,CO
08089,otero county,CO
08091,ouray county,CO
08093,park county,CO
08095,phillips county,CO
08097,pitkin county,CO
08099,prowers county,CO
08101,pueblo county,CO
08103,rio blanco county,CO
08105,rio grande county,CO
08107,routt county,CO
08109,saguache county,CO
08111,san juan county,CO
08113,san miguel county,CO
08115,sedgwick county,CO
08117,summit county,CO
08119,teller county,CO
08121,washington county,CO
08123,weld county,CO
08125,yuma county,CO
09000,connecticut,CT
09001,fairfield county,CT
09003,hartford county,CT
09005,litchfield county,CT
09007,middlesex county,CT
09009,new haven county,CT
09011,new london county,CT
09013,tolland county,CT
09015,windham county,CT
10000,delaware,DE
10001,kent county,DE
10003,new castle county,DE
10005,sussex county,DE
11000,district of columbia,DC
11001,district of columbia,DC
12000,florida,FL
12001,alachua county,FL
12003,baker county,FL
12005,bay county,FL
12007,bradford county,FL
12009,brevard county,FL
12011,broward county,FL
12013,calhoun county,FL
12015,charlotte county,FL
12017,citrus county,FL
12019,clay county,FL
12021,collier county,FL
12023,columbia county,FL
12027,desoto county,FL
12029,dixie county,FL
12031,duval county,FL
12033,escambia county,FL
12035,flagler county,FL
12037,franklin county,FL
12039,gadsden county,FL
12041,gilchrist county,FL
12043,glades county,FL
12045,gulf county,FL
12047,hamilton county,FL
12049,hardee county,FL
12051,hendry county,FL
12053,hernando county,FL
12055,highlands county,FL
12057,hillsborough county,FL
12059,holmes county,FL
12061,indian river county,FL
12063,jackson county,FL
12065,jefferson county,FL
12067,lafayette county,FL
12069,lake county,FL
12071,lee county,FL
12073,leon county,FL
12075,levy county,FL
12077,liberty county,FL
12079,madison county,FL
12081,manatee county,FL
12083,marion county,FL
12085,martin county,FL
12086,miami-dade county,FL
12087,monroe county,FL
12089,nassau county,FL
12091,okaloosa county,FL
12093,okeechobee county,FL
12095,orange county,FL
12097,osceola county,FL
12099,palm beach county,FL
12101,pasco county,FL
12103,pinellas county,FL
12105,polk county,FL
12107,putnam county,FL
12109,st. johns county,FL
12111,st. lucie county,FL
12113,santa rosa county,FL
12115,sarasota county,FL
12117,seminole county,FL
12119,sumter county,FL
12121,suwannee county,FL
12123,taylor county,FL
12125,union county,FL
12127,volusia county,FL
12129,wakulla county,FL
12131,walton county,FL
12133,washington county,FL
13000,georgia,GA
13001,appling county,GA
13003,atkinson county,GA
13005,bacon county,GA
13007,baker county,GA
13009,baldwin county,GA
13011,banks county,GA
13013,barrow county,GA
13015,bartow county,GA
13017,ben hill county,GA
13019,berrien county,GA
13021,bibb county,GA
13023,bleckley county,GA
13025,brantley county,GA
13027,brooks county,GA
13029,bryan county,GA
13031,bulloch county,GA
13033,burke county,GA
13035,butts county,GA
13037,calhoun county,GA
13039,camden county,GA
13043,candler county,GA
13045,carroll county,GA
13047,catoosa county,GA
13049,charlton county,GA
13051,chatham county,GA
13053,chattahoochee county,GA
13055,chattooga county,GA
13057,cherokee county,GA
13059,clarke county,GA
13061,clay county,GA
13063,clayton county,GA
13065,clinch county,GA
13067,cobb county,GA
13069,coffee county,GA
13071,colquitt county,GA
13073,columbia county,GA
13075,cook county,GA
13077,coweta county,GA
13079,crawford county,GA
13081,crisp county,GA
13083,dade county,GA
13085,dawson county,GA
13087,decatur county,GA
13089,dekalb county,GA
13091,dodge county,GA
13093,dooly county,GA
13095,dougherty county,GA
13097,douglas county,GA
13099,early county,GA
13101,echols county,GA
13103,effingham county,GA
